Codice AIC;Sost.isce;Sost.ito;Descrizione prodotto;Ditta produttrice;Forma farmaceutica;Principio Attivo;A.T.C. Descrizione;Cod. gruppo;Descrizione gruppo;Tipo prodotto;Doping;Glutine;Stupefacente;Temperatura;Mesi di validita';Validita' dopo apertura;Iva;Prz. Att.;Imp.Assist;PrzRimE.;Obbligatorieta';Particolarita';Cl;Prescrivibilita';Tipo ricetta;Regime SSN;Note prescrizione
045354040;;;ABACAVIR MY*60CPR RIV 300MG;MYLAN SpA;COMPRESSE RIVESTITE DIVISIBILI;ABACAVIR;ABACAVIR;;;FARMACO OSPED. ESITABILE;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;235.86;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;H;PRESCR.SPEC: INFETT;RNRL - LIMITATIVA NON RIPETIB.;DISP.IN F.CIA A CARICO CITTAD.;
043658121;043658071;;ABASAGLAR*SC 5 KWIKPEN 100U/ML;ELI LILLY ITALIA SpA;SOLUZIONE INIETTABILE;INSULINA GLARGINE;INSULINA GLARGINE;;;FARMACO ETICO;S;;;DA 2 A 8 GRADI,NO LUCE,NO CONG;24 MESI;28 GIORNI NON SUP. +30 GRADI;ALIQUOTA 10%;60.69;0.0;0.0;OBBL.1GR.INSULINA UMANA P.I.;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
043658032;;;ABASAGLAR*SC 5CART 100U/ML 3ML;ELI LILLY ITALIA SpA;SOLUZIONE INIETTABILE;INSULINA GLARGINE;INSULINA GLARGINE;;;FARMACO ETICO;S;;;DA 2 A 8 GRADI,NO LUCE,NO CONG;24 MESI;28 GIORNI NON SUP. +30 GRADI;ALIQUOTA 10%;60.69;0.0;0.0;OBBL.1GR.INSULINA UMANA P.I.;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
036816027;;;ABBA*12BUST 875MG+125MG;FIDIA FARMACEUTICI SpA;SOSPENSIONE ORALE POLVERE;AMOXICILLINA TRIIDRATO/POTASSIO CLAVULANATO;AMOXICILLINA ED INIBITORE DELLE BETA-LATTAMASI;CJA;AMOXICILLINA+ACIDO CLAVULANICO 875+125MG 12 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP.A +25, IN CONF.ORIGIN.;24 MESI;;ALIQUOTA 10%;7.9;0.0;7.9;OBBL.1GR.PENICILLINA ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
036816015;;;ABBA*12CPR RIV 875MG+125MG;FIDIA FARMACEUTICI SpA;COMPRESSE RIVESTITE;AMOXICILLINA TRIIDRATO/POTASSIO CLAVULANATO;AMOXICILLINA ED INIBITORE DELLE BETA-LATTAMASI;CJA;AMOXICILLINA+ACIDO CLAVULANICO 875+125MG 12 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP.A +25,RIPARO LUCE-UMID;24 MESI;;ALIQUOTA 10%;7.9;0.0;7.9;OBBL.1GR.PENICILLINA ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
044868026;;;ABERIPRA*28CPR 10MG;ECUPHARMA Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSA;ARIPIPRAZOLO 10MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;24.9;5.4;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
044868038;;;ABERIPRA*28CPR 15MG;ECUPHARMA Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSB;ARIPIPRAZOLO 15MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;24.9;5.4;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
044868014;;;ABERIPRA*28CPR 5MG;ECUPHARMA Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSD;ARIPIPRAZOLO 5MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;24.9;5.4;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
040915098;;;ABESART*28CPR RIV 150MG;GENETIC SpA;COMPRESSE RIVESTITE DIVISIBILI;IRBESARTAN;IRBESARTAN;NJA;IRBESARTAN 150MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;;ALIQUOTA 10%;6.44;0.0;6.44;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
040915163;;;ABESART*28CPR RIV 300MG;GENETIC SpA;COMPRESSE RIVESTITE DIVISIBILI;IRBESARTAN;IRBESARTAN;NJB;IRBESARTAN 300MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;;ALIQUOTA 10%;8.65;0.0;8.65;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
039371036;;;ABIDOL*12CPR RIV200MG;AURORA LICENSING Srl;COMPRESSE RIVESTITE;IBUPROFENE;IBUPROFENE;;;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;5.9;0.0;0.0;OBBL.1GR.ANTINF.DER.AC.PROPION;OBBL.1GR.ANTINF.DER.AC.PROPION;C;;OTC - LIBERA VENDITA;NON CONCEDIBILE;
039371051;;;ABIDOL*24CPR RIV200MG;AURORA LICENSING Srl;COMPRESSE RIVESTITE;IBUPROFENE;IBUPROFENE;;;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;;ALIQUOTA 10%;11.2;0.0;0.0;OBBL.1GR.ANTINF.DER.AC.PROPION;OBBL.1GR.ANTINF.DER.AC.PROPION;C;;OTC - LIBERA VENDITA;NON CONCEDIBILE;
049818014;;;ABIGERD*14CPR GATRORES 20MG;AURORA BIOFARMA Srl;COMPRESSE GASTRORESISTENTI;ESOMEPRAZOLO MAGNESIO DIIDRATO;ESOMEPRAZOLO;CVA;ESOMEPRAZOLO 20MG 14 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP. A +30 GRADI;24 MESI;;ALIQUOTA 10%;5.88;0.0;5.88;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;ESENTE PER PATOLOGIA;NOTA 1 / NOTA 48
049818038;;;ABIGERD*14CPR GATRORES 40MG;AURORA BIOFARMA Srl;COMPRESSE GASTRORESISTENTI;ESOMEPRAZOLO MAGNESIO DIIDRATO;ESOMEPRAZOLO;CVB;ESOMEPRAZOLO 40MG 14 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP. A +30 GRADI;24 MESI;;ALIQUOTA 10%;7.64;0.0;7.64;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;ESENTE PER PATOLOGIA;NOTA 1 / NOTA 48
049818026;;;ABIGERD*28CPR GATRORES 20MG;AURORA BIOFARMA Srl;COMPRESSE GASTRORESISTENTI;ESOMEPRAZOLO MAGNESIO DIIDRATO;ESOMEPRAZOLO;JDP;ESOMEPRAZOLO 20MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP. A +30 GRADI;24 MESI;;ALIQUOTA 10%;8.42;0.0;8.42;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;ESENTE PER PATOLOGIA;NOTA 1 / NOTA 48
049818040;;;ABIGERD*28CPR GATRORES 40MG;AURORA BIOFARMA Srl;COMPRESSE GASTRORESISTENTI;ESOMEPRAZOLO MAGNESIO DIIDRATO;ESOMEPRAZOLO;JDQ;ESOMEPRAZOLO 40MG 28 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP. A +30 GRADI;24 MESI;;ALIQUOTA 10%;10.92;0.0;10.92;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;ESENTE PER PATOLOGIA;NOTA 1 / NOTA 48
036582029;;;ABILIFY*28CPR 10MG;OTSUKA PHARMACEUTIC.ITALY Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSA;ARIPIPRAZOLO 10MG 28 UNITA' USO ORALE;FARMACO ETICO;N;;;CONSERV.IN CONFEZ.ORIGINALE;36 MESI;;ALIQUOTA 10%;42.74;23.24;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
036582031;;;ABILIFY*28CPR 15MG;OTSUKA PHARMACEUTIC.ITALY Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSB;ARIPIPRAZOLO 15MG 28 UNITA' USO ORALE;FARMACO ETICO;N;;;CONSERV.IN CONFEZ.ORIGINALE;36 MESI;;ALIQUOTA 10%;42.74;23.24;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
036582017;;;ABILIFY*28CPR 5MG;OTSUKA PHARMACEUTIC.ITALY Srl;COMPRESSE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSD;ARIPIPRAZOLO 5MG 28 UNITA' USO ORALE;FARMACO ETICO;N;;;CONSERV.IN CONFEZ.ORIGINALE;36 MESI;;ALIQUOTA 10%;40.24;20.74;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
036582094;;;ABILIFY*28CPR ORODISP 10MG;OTSUKA PHARMACEUTIC.ITALY Srl;COMPRESSE ORODISPERSIBILI;ARIPIPRAZOLO;ARIPIPRAZOLO;HSA;ARIPIPRAZOLO 10MG 28 UNITA' USO ORALE;FARMACO ETICO;N;;;CONSERV.IN CONFEZ.ORIGINALE;36 MESI;;ALIQUOTA 10%;42.74;23.24;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
036582120;;;ABILIFY*28CPR ORODISP 15MG;OTSUKA PHARMACEUTIC.ITALY Srl;COMPRESSE ORODISPERSIBILI;ARIPIPRAZOLO;ARIPIPRAZOLO;HSB;ARIPIPRAZOLO 15MG 28 UNITA' USO ORALE;FARMACO ETICO;N;;;CONSERV.IN CONFEZ.ORIGINALE;36 MESI;;ALIQUOTA 10%;42.74;23.24;19.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
036582183;;;ABILIFY*OS FL 150ML 1MG/ML;OTSUKA PHARMACEUTIC.ITALY Srl;SOLUZIONE ORALE;ARIPIPRAZOLO;ARIPIPRAZOLO;HSC;ARIPIPRAZOLO 1MG/ML 150ML USO ORALE;FARMACO ETICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;36 MESI;6 MESI;ALIQUOTA 10%;125.12;100.62;24.5;NON OBBLIGATORIA;CONTINUITA' TERAPEUTICA H-T;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;DISTR.DIR.ANCHE DA STRUT.PUBBL
025358058;;;ABIMONO*1 OV VAG 600MG;FARMITALIA Srl - SOC. UNIPERS.;OVULI VAGINALI;ISOCONAZOLO NITRATO;ISOCONAZOLO;;;FARMACO ETICO;N;N;;NON SUP. A +30 GRADI;36 MESI;;ALIQUOTA 10%;15;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;SOP - NON RICHIESTA;NON CONCEDIBILE;
037350016;;;ABIOCLAV*12CPR RIV 875MG+125MG;AESCULAPIUS FARMACEUTICI Srl;COMPRESSE RIVESTITE;AMOXICILLINA TRIIDRATO/POTASSIO CLAVULANATO;AMOXICILLINA ED INIBITORE DELLE BETA-LATTAMASI;CJA;AMOXICILLINA+ACIDO CLAVULANICO 875+125MG 12 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP.A +25,RIPARO LUCE-UMID;24 MESI;;ALIQUOTA 10%;7.9;0.0;7.9;OBBL.1GR.PENICILLINA ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
037350028;;;ABIOCLAV*OS SOSP FL 70ML;AESCULAPIUS FARMACEUTICI Srl;SOSPENSIONE ORALE POLVERE;AMOXICILLINA TRIIDRATO/POTASSIO CLAVULANATO;AMOXICILLINA ED INIBITORE DELLE BETA-LATTAMASI;CJC;AMOXICILLINA+ACIDO CLAVULANICO 80+11,4MG/ML 70ML USO ORALE;FARMACO ETICO;N;;;NON SUP.A +25, IN CONF.ORIGIN.;36 MESI;7 GG IN FRIGO DOPO RICOSTITUZ;ALIQUOTA 10%;6.42;0.0;6.42;OBBL.1GR.PENICILLINA ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
010772022;;;ABIOSTIL*UNG NAS 10G;DECA LABORATORIO CHIMICO Srl;UNGUENTO RINOLOGICO;NEOMICINA/EUCALIPTOLO/PINO ESSENZA/CANFORA/MENTOLO/CLOROBUTANOLO;VARI;;;FARMACO ETICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;;ALIQUOTA 10%;18;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;C;;RR - RIPETIBILE 10V IN 6MESI;NON CONCEDIBILE;
038038028;;;ABIS*14CPR 10MG;AGIPS FARMACEUTICI Srl;COMPRESSE;AMLODIPINA BESILATO;AMLODIPINA;DOA;AMLODIPINA 10MG 14 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP. A +25 GRADI;48 MESI;;ALIQUOTA 10%;4.07;0.81;3.26;OBBL.1GR.CALCIO ANT.DIIDROPIRI;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
038038016;;;ABIS*28CPR 5MG;AGIPS FARMACEUTICI Srl;COMPRESSE;AMLODIPINA BESILATO;AMLODIPINA;DOB;AMLODIPINA 5MG 28 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP. A +25 GRADI;48 MESI;;ALIQUOTA 10%;4.68;0.94;3.74;OBBL.1GR.CALCIO ANT.DIIDROPIRI;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
039399011;;;ABRAXANE*INF 100MG 5MG/ML;BRISTOL-MYERS SQUIBB Srl;POLV PER DISPERS X INFUSIONE;PACLITAXEL ALBUMINA;PACLITAXEL;;;FARMACO SOLO USO OSPEDALIERO;N;;TAB.5 F.U. XII;AL RIPARO DALLA LUCE;36 MESI;USARE IMMEDIATAMENTE;ALIQUOTA 10%;364.92;0.0;0.0;NON OBBLIGATORIA;UNA O PIU' INDIC.TER. NON RIMB;H;;OSP - USO OSPEDALIERO;NON CONCEDIBILE;
042292021;;;ABRIFF*INAL 120D 125+5MCG;MUNDIPHARMA PHARMACEUTIC. Srl;SOSPENSIONE PRESSUR PER INALAZ;FLUTICASONE PROPIONATO/FORMOTEROLO FUMARATO DIIDRATO;FORMOTEROLO E FLUTICASONE;;;FARMACO ETICO;S;;;NON SUP.+25, NON CONG,NO FRIGO;24 MESI;3 MESI;ALIQUOTA 10%;50.17;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
042292033;;;ABRIFF*INAL 120D 250+10MCG;MUNDIPHARMA PHARMACEUTIC. Srl;SOSPENSIONE PRESSUR PER INALAZ;FLUTICASONE PROPIONATO/FORMOTEROLO FUMARATO DIIDRATO;FORMOTEROLO E FLUTICASONE;;;FARMACO ETICO;S;;;NON SUP.+25, NON CONG,NO FRIGO;24 MESI;3 MESI;ALIQUOTA 10%;73.98;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
042292019;;;ABRIFF*INAL 120D 50+5MCG;MUNDIPHARMA PHARMACEUTIC. Srl;SOSPENSIONE PRESSUR PER INALAZ;FLUTICASONE PROPIONATO/FORMOTEROLO FUMARATO DIIDRATO;FORMOTEROLO E FLUTICASONE;;;FARMACO ETICO;S;;;NON SUP.+25, NON CONG,NO FRIGO;24 MESI;3 MESI;ALIQUOTA 10%;33;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
036018149;;;ABSORCOL*30CPR 10MG;ADDENDA PHARMA Srl;COMPRESSE;EZETIMIBE;EZETIMIBE;LHA;EZETIMIBE 10MG 30 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP.A +30, IN CONF.ORIGIN.;36 MESI;;ALIQUOTA 10%;22.87;1.71;21.16;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RR - RIPETIBILE 10V IN 6MESI;ESENTE PER PATOLOGIA;NOTA 13: CLASSE A PER PATOL.
038736031;;;ABSTRAL*10CPR SUBL 100MCG;GRUNENTHAL ITALIA Srl;COMPRESSE SUBLINGUALI;FENTANIL CITRATO;FENTANIL;CIF;FENTANIL 100MCG 10 UNITA' USO SUBLINGUALE;FARMACO ETICO;S;;TAB.D MEDICINALI L. 79/2014;NON SUP.A +25, RIPARO UMIDITA';24 MESI;;ALIQUOTA 10%;55.08;7.83;47.25;NON OBBLIGATORIA;DATI ACQUIR.RIC.PRIV.CONS.2ANN;A;IN TERAPIA DEL DOLORE;RNR - NON RIPETIBILE (EX S/F);CONCEDIB.ESENTE;
038736056;;;ABSTRAL*10CPR SUBL 200MCG;GRUNENTHAL ITALIA Srl;COMPRESSE SUBLINGUALI;FENTANIL CITRATO;FENTANIL;CIQ;FENTANIL 200MCG 10 UNITA' USO SUBLINGUALE;FARMACO ETICO;S;;TAB.D MEDICINALI L. 79/2014;NON SUP.A +25, RIPARO UMIDITA';24 MESI;;ALIQUOTA 10%;55.08;7.83;47.25;NON OBBLIGATORIA;DATI ACQUIR.RIC.PRIV.CONS.2ANN;A;IN TERAPIA DEL DOLORE;RNR - NON RIPETIBILE (EX S/F);CONCEDIB.ESENTE;
038736070;;;ABSTRAL*10CPR SUBL 300MCG;GRUNENTHAL ITALIA Srl;COMPRESSE SUBLINGUALI;FENTANIL CITRATO;FENTANIL;CIM;FENTANIL 300MCG 10 UNITA' USO SUBLINGUALE;FARMACO ETICO;S;;TAB.D MEDICINALI L. 79/2014;NON SUP.A +25, RIPARO UMIDITA';24 MESI;;ALIQUOTA 10%;55.08;7.83;47.25;NON OBBLIGATORIA;DATI ACQUIR.RIC.PRIV.CONS.2ANN;A;IN TERAPIA DEL DOLORE;RNR - NON RIPETIBILE (EX S/F);CONCEDIB.ESENTE;
038736094;;;ABSTRAL*10CPR SUBL 400MCG;GRUNENTHAL ITALIA Srl;COMPRESSE SUBLINGUALI;FENTANIL CITRATO;FENTANIL;CIV;FENTANIL 400MCG 10 UNITA' USO SUBLINGUALE;FARMACO ETICO;S;;TAB.D MEDICINALI L. 79/2014;NON SUP.A +25, RIPARO UMIDITA';24 MESI;;ALIQUOTA 10%;55.08;7.83;47.25;NON OBBLIGATORIA;DATI ACQUIR.RIC.PRIV.CONS.2ANN;A;IN TERAPIA DEL DOLORE;RNR - NON RIPETIBILE (EX S/F);CONCEDIB.ESENTE;
038736118;;;ABSTRAL*10CPR SUBL 600MCG;GRUNENTHAL ITALIA Srl;COMPRESSE SUBLINGUALI;FENTANIL CITRATO;FENTANIL;CI0;FENTANIL 600MCG 10 UNITA' USO SUBLINGUALE;FARMACO ETICO;S;;TAB.D MEDICINALI L. 79/2014;NON SUP.A +25, RIPARO UMIDITA';24 MESI;;ALIQUOTA 10%;55.08;7.83;47.25;NON OBBLIGATORIA;DATI ACQUIR.RIC.PRIV.CONS.2ANN;A;IN TERAPIA DEL DOLORE;RNR - NON RIPETIBILE (EX S/F);CONCEDIB.ESENTE;
038736132;;;ABSTRAL*10CPR SUBL 800MCG;GRUNENTHAL ITALIA Srl;COMPRESSE SUBLINGUALI;FENTANIL CITRATO;FENTANIL;CI4;FENTANIL 800MCG 10 UNITA' USO SUBLINGUALE;FARMACO ETICO;S;;TAB.D MEDICINALI L. 79/2014;NON SUP.A +25, RIPARO UMIDITA';24 MESI;;ALIQUOTA 10%;55.08;7.83;47.25;NON OBBLIGATORIA;DATI ACQUIR.RIC.PRIV.CONS.2ANN;A;IN TERAPIA DEL DOLORE;RNR - NON RIPETIBILE (EX S/F);CONCEDIB.ESENTE;
037856022;;;ACADIMOX*12CPR RIV 875MG+125MG;GENETIC SpA;COMPRESSE RIVESTITE;AMOXICILLINA TRIIDRATO/POTASSIO CLAVULANATO;AMOXICILLINA ED INIBITORE DELLE BETA-LATTAMASI;CJA;AMOXICILLINA+ACIDO CLAVULANICO 875+125MG 12 UNITA' USO ORALE;FARMACO ETICO;N;;;NON SUP.A +25,RIPARO LUCE-UMID;24 MESI;;ALIQUOTA 10%;7.9;0.0;7.9;OBBL.1GR.PENICILLINA ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
042869014;;;ACAMBA*COLL FL 2,5ML 40MCG/ML;FIDIA FARMACEUTICI SpA;COLLIRIO SOLUZIONE;TRAVOPROST;TRAVOPROST;LWA;TRAVOPROST 100MCG 2,5ML SOLUZIONE USO OFTALMICO MULTIDOSE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;28 GIORNI;ALIQUOTA 10%;10.61;0.0;10.61;NON OBBLIGATORIA;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
042869026;;;ACAMBA*COLL30FL 0,1ML 40MCG/ML;FIDIA FARMACEUTICI SpA;COLLIRIO SOLUZIONE;TRAVOPROST;TRAVOPROST;JYP;TRAVOPROST 40MCG/ML 0,1ML 30 UNITA' SOLUZIONE USO OFTALMICO MONODOSE;FARMACO GENERICO;N;;;NESSUNA PARTIC.CONDIZ.DI CONS.;24 MESI;USO IMMEDIATO. ELIMINARE RESTO;ALIQUOTA 10%;10.61;0.0;10.61;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
047612027;;;ACARBOSIO AURO*40CPR 50MG;AUROBINDO PHARMA ITALIA Srl;COMPRESSE;ACARBOSIO;ACARBOSIO;H1B;ACARBOSIO 50MG 40 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +30 GRADI;24 MESI;;ALIQUOTA 10%;5.63;0.0;5.63;OBBL.1GR.IPOGLICEMIZZ.ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
044155024;;;ACARBOSIO DOC*40CPR 100MG;DOC GENERICI Srl;COMPRESSE;ACARBOSIO;ACARBOSIO;H1A;ACARBOSIO 100MG 40 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +30 GRADI;60 MESI;;ALIQUOTA 10%;5.63;0.0;5.63;OBBL.1GR.IPOGLICEMIZZ.ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
044155012;;;ACARBOSIO DOC*40CPR 50MG;DOC GENERICI Srl;COMPRESSE;ACARBOSIO;ACARBOSIO;H1B;ACARBOSIO 50MG 40 UNITA' USO ORALE;FARMACO GENERICO;N;;;INFERIORE A +30 GRADI;60 MESI;;ALIQUOTA 10%;5.63;0.0;5.63;OBBL.1GR.IPOGLICEMIZZ.ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
039716182;;;ACARBOSIO TECNIG*40CPR 100MG;TECNIMEDE SOC.TECNICO-MED.S.A.;COMPRESSE;ACARBOSIO;ACARBOSIO;H1A;ACARBOSIO 100MG 40 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP.A +30,RIPARO LUCE-UMID;24 MESI;;ALIQUOTA 10%;5.63;0.0;5.63;OBBL.1GR.IPOGLICEMIZZ.ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
039716170;;;ACARBOSIO TECNIG*40CPR 50MG;TECNIMEDE SOC.TECNICO-MED.S.A.;COMPRESSE;ACARBOSIO;ACARBOSIO;H1B;ACARBOSIO 50MG 40 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP.A +30,RIPARO LUCE-UMID;24 MESI;;ALIQUOTA 10%;5.63;0.0;5.63;OBBL.1GR.IPOGLICEMIZZ.ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
035987054;;;ACARDEN*28CPR 12,5MG;SO.SE.PHARM Srl;COMPRESSE DIVISIBILI;CARVEDILOLO;CARVEDILOLO;;;FARMACO ETICO;S;;;NON SUP.A +25,RIPARO LUCE-UMID;48 MESI;;ALIQUOTA 10%;7.96;0.0;0.0;NON OBBLIGATORIA;NON OBBLIGATORIA;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
038835144;;;ACARPHAGE*40CPR 100MG;BRUNO FARMACEUTICI SpA;COMPRESSE DIVISIBILI;ACARBOSIO;ACARBOSIO;H1A;ACARBOSIO 100MG 40 UNITA' USO ORALE;FARMACO GENERICO;N;;;NON SUP.A +25, IN CONF.ORIGIN.;36 MESI;;ALIQUOTA 10%;5.63;0.0;5.63;OBBL.1GR.IPOGLICEMIZZ.ORALE;QUOTE DL 39/09 e DL 78/10;A;;RR - RIPETIBILE 10V IN 6MESI;CONCEDIB.ESENTE;
